pred1	pred2	resp
0.11	-0.45	-0.09
-0.64	-0.68	-4.82
-0.85	-1.22	15.7
-1.02	1.55	-23.13
0.12	-1.42	-4.83
-0.95	0.32	-16.11
-0.49	0.85	12.37
-0.26	0.18	-2.48
1.84	-0.88	-1.61
-0.65	0.94	29.93
0.24	0.17	-0.31
0.08	-1.06	-3.26
-0.96	-1.39	2.95
-0.07	2.09	-17.88
1.44	-0.68	7.74
0.45	-1.86	1.57
0.04	0.53	4.22
-0.42	0.31	-10.76
-2.05	-1.35	-11.95
1.13	-1.94	-3.3
-1.46	-0.12	-9.75
0.74	1.14	12.96
1.91	0.64	18.02
-1.44	-0.49	-3.24
0.7	-0.83	-1.71
-0.26	0.27	-3.95
-1.57	0.16	-1.82
-1.51	0.63	-1.93
-1.6	-0.4	0.9
-0.53	0.9	-9.16
-1.46	-0.83	-9.83
0.69	-0.33	13.34
2.1	0.74	-3.08
-1.29	0.99	0.11
0.79	-1.94	2.56
0.77	0.11	-8.53
0.33	0.61	5.8
-1.01	-1.45	1.67
-0.12	0.48	13.34
-0.28	-0.83	1.58
0.56	1.02	-3.5
-0.37	0.54	1.69
0.98	0.77	-11.16
-0.37	0.12	-9.03
1.05	0.86	5.82
-1.05	1.38	-6.29
-1.26	1.97	-4.52
3.24	-0.03	3.74
-0.42	-2.25	-4.89
0.3	0.03	-19.77
0.64	0.21	4.24
-0.48	-0.16	7.06
0.52	0.57	-12.68
0.37	1.01	14.37
-0.22	-0.52	4.04
0.07	-0.29	13.81
-0.03	0.4	-10.02
2.13	-0.55	5.41
-0.74	0.09	-2.2
-1.1	-1.96	8
0.04	-1.12	-4.58
0.31	-1.33	1.69
0.44	-0.85	-16.28
-0.46	-0.69	-7.78
-1.06	0.38	-0.72
1.26	0.98	-6.15
-0.35	-0.73	-0.23
-0.87	-1	-4.98
-0.24	-1.04	6.75
-0.2	-0.41	11.79
1.11	-0.24	-6.32
0.08	0.48	-3.43
NA	-0.32	15.84
-0.5	-2.08	-20.66
0.21	-0.09	-2.79
-0.32	1.19	18.98
0.09	1.19	20.88
-0.9	-0.79	1.01
-1.31	-1.55	-9.05
2	2.46	2.19
0.6	-0.16	-5.47
-1.25	-0.1	12.75
-0.61	0.42	-9.4
-1.19	-1.61	3.55
2.2	-0.73	10.23
1.31	-1.54	-4.07
-0.27	-0.69	8.8
0.54	0.12	-6.79
-0.41	-1.36	7.05
-0.48	0.59	9.66
-0.79	0.29	-11.36
-0.59	-0.9	11.09
1.65	0.23	-2.65
-0.05	0.75	2.12
0.12	1.06	1.14
0.24	-0.21	-3.7
1.23	-0.09	4.62
-0.52	-0.09	-12.99
-0.99	1.44	-4.29
1.68	1.13	9.65
-0.44	0.83	-23.23
-0.72	-0.29	-15.67
-1.24	0.37	-13.85
-1.28	0.4	-18.21
-0.57	-1.04	4.38
0.62	-1.73	-7.27
1.11	0.64	-20.62
0.71	-1.53	-3.78
-0.36	0	-4.45
0.06	0.25	8.41
-0.7	0.56	-12.65
-0.72	0.19	10.34
0.88	-0.73	6.03
-1.02	0.99	1.1
1.96	1.74	-7.33
-0.09	0.88	18.52
0.21	-1.94	0.61
-0.74	1.4	-20.76
-0.57	-0.06	-2.83
-1.32	0.52	-21.84
-0.18	0.62	-4
0.42	-0.1	-3.49
0.32	-0.08	7.38
-0.78	1.02	7.9
-0.79	0.71	-9.16
-0.5	0.99	6.32
1.5	2.38	14.11
-1.14	0.66	-10.21
-0.18	0.21	-7
1.9	-2.21	11.57
-0.1	2.69	-1.01
-1.36	-0.48	3.93
-0.66	2.37	10.69
0.49	0.37	4.24
-0.38	1.54	8.41
-0.56	-0.11	5.5
-0.34	0.51	3.32
0.09	0.21	3.79
1.6	-0.19	15.5
-0.09	-0.12	-10.04
1.08	1.01	-10.44
0.63	-0.2	7.06
-0.11	-2.04	0.68
-1.53	-0.2	-1.35
-0.52	0.54	6.09
-0.49	0.62	6.18
0.05	0.62	-3.17
1.3	-1.69	0.51
2.29	0.37	3.8
1.55	0.97	11.99
-0.13	1.28	2.79
-1.76	-0.22	11.91
-0.39	-0.32	-0.34
0.09	1.49	9.9
0.85	-1.67	11.78
0.96	-0.44	8
0.68	0.46	4.71
-1.4	-1.62	-3.28
0.85	0.28	-0.1
-0.45	1.88	-0.26
0.17	0	0.74
0.07	-0.28	9.82
0.43	0.47	-0.92
0.02	-0.28	-0.39
-1.67	0.81	-8.16
0.74	0.9	-1.17
0.39	0	-0.1
-0.27	-1.18	-22.36
0.12	-1.32	-12.15
0.13	-0.59	0.06
0.22	0.8	-3.12
1.64	-1.96	-7.59
-0.22	-1.89	-18.36
0.17	-0.65	-2.64
1.17	0.39	7.9
1.05	-0.91	20.22
1.15	0.89	0.45
-0.58	0.33	13.73
2	-0.17	4
0.07	0.82	0.44
1.87	0.39	5.66
-1.35	-0.45	-10.28
0.02	0.23	-0.72
1.25	0.65	10.31
-0.72	0.36	-8.94
-0.75	-0.66	-3.68
-0.94	0.86	-13.75
-1.05	1.15	0.82
-0.44	0.28	3.31
0.33	0.14	6.84
-2.01	-0.08	-15.13
0.21	2.16	-0.77
1.24	0.28	-7.86
2.04	-0.16	3.22
1.3	-2.51	17.89
0.76	-1.57	-2.33
-1.73	-0.08	4.65
-0.6	NA	-8.61
-0.35	0.28	-5.59
0.7	0.82	4.62
-0.11	-0.19	-6.77
-1.26	1.21	-20.13
1.68	-0.92	16.09
0.91	-1.21	6.18
0.24	-1.23	-4.25
1.22	0.74	-18.85
-1.34	-0.08	17.09
0.66	0.79	34.1
-0.52	-0.27	1.56
0.68	-0.59	10.11
-0.06	-0.37	12.53
0.63	-1.85	-4.22
1.34	-1.17	-0.33
0.01	-1.44	-15.82
1.02	1.05	-6.89
-1.19	-0.6	5.04
-0.72	0.79	-4.78
1.52	1.52	-1.38
0.38	-0.19	-0.37
-2.05	0.28	-21.99
-1.36	-1.75	8.09
-0.2	-0.82	-13.91
0.87	0.06	-0.84
-0.1	0.3	-4.84
0.62	-0.76	-0.5
0.96	2.68	13.36
1.67	-0.46	-2.86
0.06	0.06	-7.8
-0.05	0.65	-15.92
-1.75	-0.03	-10.65
0.1	-0.64	-10.87
-0.57	1.05	2.17
-0.97	1.62	-11.71
-0.18	-0.03	2.8
1.01	0.56	-0.51
-1.99	-0.1	-17.22
-0.43	1.02	-9.57
0.12	-1.16	10.19
-0.89	2.32	5.38
0.33	-0.6	21.15
0.41	-1.46	2.04
-0.03	-0.35	-14.65
-2.47	0.15	-11.54
2.57	1.62	6.32
-0.21	0.91	17.78
0.65	0.14	1.94
0.27	-1.39	13.2
1.02	-0.87	10.08
0.82	-0.16	-10.29
-0.21	2.55	-4.58
0.38	-1.86	15.48
-0.95	1.13	6.21
0.86	-0.53	6.46
-0.46	1.67	2.41
2.42	-1.14	-0.14
-1.65	0.14	-15.81
-0.46	-1.1	13.36
0.83	0.9	-13.86
0.51	1.48	-10.1
-0.59	1.95	3.45
-1	0.8	-14.92
0.14	1.84	-7.15
-0.01	1.25	-13.09
-1.79	-0.13	3.65
0.03	0.48	4.03
0.19	-0.97	5.47
0.17	-0.19	4.87
-1.06	1.22	2.76
0.48	0.54	6.57
1.38	0.46	-18.08
0.46	-1.04	0.24
-1.14	-0.6	0.01
-0.44	-0.76	7.35
0.35	0.4	-11.75
-0.65	-0.99	-4.98
-2.16	0.56	-14.54
0.88	-1.12	13.01
-0.83	1.83	9.72
-0.57	0.46	6.56
1.5	-0.7	-9.27
-0.77	0.24	3.12
0.85	-0.35	13.13
-1.26	0.37	-0.58
-0.35	0.24	-6.43
-0.07	-1.01	-9.96
-1.17	-0.79	-7.62
-0.63	0.3	5.9
-0.03	1.64	-6
0.67	1.08	2.2
-1.65	-0.62	11.09
-0.35	0.83	4.43
0.76	-0.05	14.84
-0.54	0.3	-18.13
0.23	0.26	-2.72
0.49	2.58	-1.19
0.27	-1.19	7.38
0.65	0.1	-10.82
-0.12	-1.78	9.66
-0.41	0.59	1.87
-2.64	1.1	-2.42
-0.09	1.45	3.5
0.43	-1.93	1.41
0.54	0.41	9.66
-0.56	1.59	4.05
1.78	-0.41	1.58
0.29	-0.21	11.05
0.13	-0.04	3.16
1.27	0.37	8.22
-0.72	0.67	-7.69
-0.45	1.32	13.81
2.4	-0.1	3.66
0.01	0.2	8.29
1.63	2.49	-1.05
-1.44	0.43	-5.39
-0.19	0.19	7.37
0.38	-1.34	-13.94
0.3	0	5.23
-1.01	-0.22	2.64
0.02	-0.01	-26.91
-1.08	-0.58	2.64
0.71	-0.69	-19.93
1.08	-0.72	8.94
-2.22	-0.21	-7.66
1.24	1.37	-6.46
-1.24	1.05	-2.98
0.45	-0.36	14.77
0.66	-1.69	-3.67
-0.2	-0.84	6.12
-0.65	-0.46	2.9
0.17	0.1	-11.64
0.44	-0.66	-16.09
0.88	2.01	-20.62
-2.05	-0.27	2.71
-1.64	-1.21	-1.6
1.43	-0.14	20.79
1.05	-1.01	8.32
0.44	0.16	9
0.72	0.23	14.19
0.92	0.36	-3.99
-2.66	-1.62	2.73
1.11	0.22	10.13
-0.48	0.31	12.66
0.23	-1.42	9.39
-0.3	0.96	2.8
0.87	0.78	-8.16
-0.35	2.3	4.47
0.52	0.16	5.62
-0.39	0.05	5.71
-1.09	0.1	2.5
1.21	0.07	-0.27
0.74	-1.85	2.19
1.72	-1.67	11.12
0.07	-0.08	1.9
1.13	-0.58	-6.03
NA	0.05	0.02
-0.28	-2.11	-11.5
-1.32	-1.5	-10.15
-0.24	-1.1	-0.71
-0.21	0.99	-19.29
0.15	-1.1	-15.56
1.71	-0.8	14.39
-0.33	0.08	-6.34
0.37	-0.32	-17.64
-0.23	0.15	-1.62
0.02	2.31	10.93
0.31	-1.12	8.21
1.33	-0.31	6.72
0.12	-0.52	12.54
0.71	1.51	-8.16
0.78	-0.77	9.24
0.91	-0.08	-4.43
-0.57	0.79	-1.64
1.63	-1.06	25.65
-0.38	1.66	7.46
-0.11	0.68	6.84
1.4	-1.07	-7.91
1.29	0.45	-6.38
-1.09	-0.21	21.42
-0.87	0.31	-12.55
-1.36	-0.09	0.19
0.18	1.07	8.13
0.16	-1.35	11.78
0.36	-0.52	11.95
0.55	-0.25	-0.56
